T        MC_cycles-ac             N_spins      accepted flips               <E>/N             <|M|>/N
1                9900                   4                   2                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
1                9900                   4                   3                   0                   0
